,bullishness,fract_negative,fract_positive,n_negative,n_positive,n_token,rating,style
296,0.0364,0.009345794392523364,0.04672897196261682,1,5,107,2.98,American Pale Lager
297,0.0216,0.026905829596412557,0.04932735426008968,6,11,223,2.95,American Pale Lager
298,0.0504,0.017543859649122806,0.07017543859649122,1,4,57,3.25,American Pale Lager
299,0.0211,0.03296703296703297,0.054945054945054944,3,5,91,3.5,American Pale Lager
300,0.0392,0.02459016393442623,0.06557377049180328,3,8,122,3.22,American Pale Lager
301,0.0918,0.0,0.09615384615384616,0,5,52,3.79,American Pale Lager
302,0.0776,0.03333333333333333,0.11666666666666667,2,7,60,1.36,American Pale Lager
303,-0.0134,0.0273972602739726,0.0136986301369863,2,1,73,1.82,American Pale Lager
304,0.0211,0.021739130434782608,0.043478260869565216,3,6,138,3.02,American Pale Lager
305,0.04,0.0425531914893617,0.0851063829787234,2,4,47,2.69,American Pale Lager
306,0.1092,0.04,0.16,1,4,25,4.44,American Pale Lager
307,0.0616,0.0106951871657754,0.0748663101604278,2,14,187,2.75,American Pale Lager
308,0.0,0.022727272727272728,0.022727272727272728,1,1,44,2.94,American Pale Lager
309,0.0,0.014084507042253521,0.014084507042253521,1,1,71,2.75,American Pale Lager
310,0.023,0.023809523809523808,0.047619047619047616,1,2,42,2.68,American Pale Lager
311,0.0,0.05714285714285714,0.05714285714285714,2,2,35,2.87,American Pale Lager
312,0.0317,0.03333333333333333,0.06666666666666667,1,2,30,1.6,American Pale Lager
313,0.0328,0.01694915254237288,0.05084745762711865,1,3,59,2.77,American Pale Lager
314,0.0,0.10344827586206896,0.10344827586206896,6,6,58,3.26,American Pale Lager
315,0.0239,0.01639344262295082,0.040983606557377046,2,5,122,3.08,American Pale Lager
316,0.0625,0.01639344262295082,0.08196721311475409,1,5,61,3.15,American Pale Lager
317,0.0096,0.0297029702970297,0.039603960396039604,3,4,101,3.0,American Pale Lager
318,0.0,0.0425531914893617,0.0425531914893617,6,6,141,3.36,American Pale Lager
319,0.0606,0.0,0.0625,0,2,32,3.36,American Pale Lager
320,0.0392,0.03550295857988166,0.07692307692307693,6,13,169,2.33,American Pale Lager
321,0.045,0.011627906976744186,0.05813953488372093,2,10,172,3.28,American Pale Lager
322,0.0,0.037037037037037035,0.037037037037037035,3,3,81,3.5,American Pale Lager
323,-0.0157,0.015873015873015872,0.0,1,0,63,1.59,American Pale Lager
324,0.027,0.013888888888888888,0.041666666666666664,1,3,72,3.0,American Pale Lager
325,0.0175,0.02727272727272727,0.045454545454545456,3,5,110,2.95,American Pale Lager
326,0.073,0.0,0.07575757575757576,0,5,66,3.17,American Pale Lager
327,0.0176,0.04460966542750929,0.06319702602230483,12,17,269,3.46,American Pale Lager
328,0.0606,0.012658227848101266,0.0759493670886076,1,6,79,2.79,American Pale Lager
329,0.0498,0.010309278350515464,0.061855670103092786,1,6,97,3.1,American Pale Lager
330,0.0156,0.024193548387096774,0.04032258064516129,3,5,124,2.66,American Pale Lager
331,0.0924,0.01639344262295082,0.11475409836065574,1,7,61,3.87,American Pale Lager
332,-0.0215,0.044444444444444446,0.022222222222222223,2,1,45,3.69,American Pale Lager
333,-0.0241,0.024390243902439025,0.0,1,0,41,2.5,American Pale Lager
334,0.0846,0.030303030303030304,0.12121212121212122,1,4,33,2.87,American Pale Lager
335,0.0458,0.03225806451612903,0.08064516129032258,2,5,62,3.23,American Pale Lager
336,0.052,0.013513513513513514,0.06756756756756757,1,5,74,3.0,American Pale Lager
337,0.0174,0.03636363636363636,0.05454545454545454,2,3,55,3.5,American Pale Lager
